DrugBank ID,DB00997,DB00526,DB00544,DB00853,DB00515,DB00441,DB00317,DB08865,DB01229,DB00987,DB00530,DB00675,DB00619,DB00072,DB00254,DB00188,DB00813,DB01698,DB00398,DB01259,DB00958,DB09078,DB01248,DB01101,DB01234,DB08881,DB09330,DB08916,DB00773,DB00563,DB00541,DB00877,DB00002,DB12257,DB01590,DB06287,DB11651,DB00661,DB00136,DB00361,DB00947,DB00248,DB01200,DB00945,DB08899,DB00305,DB00396,DB01268,DB00635,DB01128,DB00252,DB01262,DB01042,DB04115,DB06641,DB09053,DB04690,DB00531,DB09063,DB01204,DB01217,DB00914,DB02546,DB11885,DB09074,DB07232,DB16101,DB00860,DB00818,DB00694,DB12565,DB15588
DB00997,1.0,0.5,0.4008918628686366,0.5,0.5,0.5,0.5,0.5,0.4008918628686366,0.4743416490252569,0.5,0.25,0.5,0.4743416490252569,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.35355339059327373,0.5,0.5,0.5,0.35355339059327373,0.5,0.2886751345948129,0.5,0.6136172435010792,0.35355339059327373,0.5,0.6136172435010792,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.75,0.0,0.5,0.0,0.15811388300841897,0.0,0.5,0.5,0.6136172435010792,0.6136172435010792,0.5,0.6136172435010792,0.5,0.5,1.0,0.25,0.0,0.5,0.6136172435010792,0.5,0.5,0.6136172435010792,0.0,0.0,0.7905694150420949,0.6136172435010792,0.6136172435010792
DB00526,0.5,1.0,0.4008918628686366,0.5,1.0,0.5,0.5,0.5,0.4008918628686366,0.6324555320336759,0.5,0.25,0.5,0.6324555320336759,0.0,0.75,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.35355339059327373,0.5,0.5,0.5,0.35355339059327373,0.5,0.2886751345948129,0.5,0.6493619372972587,0.35355339059327373,0.5,0.6493619372972587,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.15811388300841897,0.0,0.5,0.5,0.6493619372972587,0.6493619372972587,0.5,0.6493619372972587,0.5,0.5,0.5,0.25,0.0,0.75,0.6493619372972587,0.75,0.75,0.6493619372972587,0.0,0.0,0.6324555320336759,0.6493619372972587,0.6493619372972587
DB00544,0.4008918628686366,0.4008918628686366,1.0,0.4008918628686366,0.4008918628686366,0.9354143466934853,0.4008918628686366,0.4008918628686366,0.42857142857142866,0.8451542547285167,0.4008918628686366,0.1336306209562122,0.4008918628686366,0.50709255283711,0.0,0.4008918628686366,0.0,0.0,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.9354143466934853,0.0,0.2834733547569204,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.5669467095138409,0.4008918628686366,0.3086066999241839,0.4008918628686366,0.5700058849261919,0.37796447300922725,0.4008918628686366,0.5700058849261919,0.0,0.0,0.4008918628686366,0.1336306209562122,0.0,0.0,0.0,0.1336306209562122,0.4008918628686366,0.0,0.4008918628686366,0.0,0.16903085094570333,0.0,0.9354143466934853,0.4008918628686366,0.5700058849261919,0.5700058849261919,0.4008918628686366,0.5700058849261919,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.1336306209562122,0.0,0.4008918628686366,0.5700058849261919,0.4008918628686366,0.4008918628686366,0.5700058849261919,0.0,0.0,0.50709255283711,0.5700058849261919,0.5700058849261919
DB00853,0.5,0.5,0.4008918628686366,1.0,0.5,0.5,0.5,0.5,0.4008918628686366,0.4743416490252569,0.5,0.25,0.5,0.4743416490252569,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.35355339059327373,0.5,0.5,0.5,0.35355339059327373,0.5,0.2886751345948129,0.5,0.5957448966029896,0.35355339059327373,0.5,0.5957448966029896,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.15811388300841897,0.0,0.5,0.75,0.5957448966029896,0.5957448966029896,0.5,0.5957448966029896,0.75,0.5,0.5,0.25,0.0,0.5,0.5957448966029896,0.5,0.5,0.5957448966029896,0.0,0.0,0.4743416490252569,0.5957448966029896,0.5957448966029896
DB00515,0.5,1.0,0.4008918628686366,0.5,1.0,0.5,0.5,0.5,0.4008918628686366,0.6324555320336759,0.5,0.25,0.5,0.6324555320336759,0.0,0.75,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.35355339059327373,0.5,0.5,0.5,0.35355339059327373,0.5,0.2886751345948129,0.5,0.6493619372972587,0.35355339059327373,0.5,0.6493619372972587,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.15811388300841897,0.0,0.5,0.5,0.6493619372972587,0.6493619372972587,0.5,0.6493619372972587,0.5,0.5,0.5,0.25,0.0,0.75,0.6493619372972587,0.75,0.75,0.6493619372972587,0.0,0.0,0.6324555320336759,0.6493619372972587,0.6493619372972587
DB00441,0.5,0.5,0.9354143466934853,0.5,0.5,1.0,0.5,0.5,0.4008918628686366,0.7905694150420949,0.5,0.25,0.5,0.4743416490252569,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.35355339059327373,0.5,0.5,0.5,0.5303300858899106,0.5,0.2886751345948129,0.5,0.6493619372972587,0.35355339059327373,0.5,0.6493619372972587,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.15811388300841897,0.0,1.0,0.5,0.6493619372972587,0.6493619372972587,0.5,0.6493619372972587,0.5,0.5,0.5,0.25,0.0,0.5,0.6493619372972587,0.5,0.5,0.6493619372972587,0.0,0.0,0.4743416490252569,0.6493619372972587,0.6493619372972587
DB00317,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,1.0,0.75,0.4008918628686366,0.4743416490252569,1.0,0.25,0.75,0.4743416490252569,0.0,0.5,0.0,0.0,0.75,0.75,0.5,0.75,0.5,0.5,0.0,0.5303300858899106,1.0,1.0,0.5,0.35355339059327373,0.5,0.4330127018922194,0.5,0.6910640800594678,0.5303300858899106,0.75,0.6910640800594678,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.15811388300841897,0.0,0.5,0.5,0.6910640800594678,0.6910640800594678,0.75,0.6910640800594678,0.5,0.75,0.5,0.25,0.0,0.5,0.6910640800594678,0.5,0.5,0.6910640800594678,0.0,0.0,0.4743416490252569,0.6910640800594678,0.6910640800594678
DB08865,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,0.75,1.0,0.4008918628686366,0.4743416490252569,0.75,0.25,0.75,0.4743416490252569,0.0,0.5,0.0,0.0,0.75,0.75,0.5,0.75,0.5,0.5,0.0,0.5303300858899106,0.75,0.75,0.5,0.35355339059327373,0.5,0.4330127018922194,0.5,0.679149182127408,0.5303300858899106,0.75,0.679149182127408,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.15811388300841897,0.0,0.5,0.5,0.679149182127408,0.679149182127408,0.75,0.679149182127408,0.5,1.0,0.5,0.25,0.0,0.5,0.679149182127408,0.5,0.5,0.679149182127408,0.0,0.0,0.4743416490252569,0.679149182127408,0.679149182127408
DB01229,0.4008918628686366,0.4008918628686366,0.42857142857142866,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.4008918628686366,1.0000000000000002,0.50709255283711,0.4008918628686366,0.1336306209562122,0.4008918628686366,0.50709255283711,0.0,0.4008918628686366,0.0,0.0,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.9354143466934853,0.4008918628686366,0.0,0.2834733547569204,0.4008918628686366,0.4008918628686366,0.6681531047810609,0.37796447300922725,0.6681531047810609,0.3086066999241839,0.4008918628686366,0.5445307615775352,0.37796447300922725,0.4008918628686366,0.5445307615775352,0.0,0.0,0.6681531047810609,0.1336306209562122,0.0,0.0,0.0,0.1336306209562122,0.4008918628686366,0.0,0.4008918628686366,0.0,0.16903085094570333,0.0,0.4008918628686366,0.4008918628686366,0.5445307615775352,0.5445307615775352,0.4008918628686366,0.5445307615775352,0.4008918628686366,0.4008918628686366,0.4008918628686366,0.1336306209562122,0.0,0.4008918628686366,0.5445307615775352,0.4008918628686366,0.4008918628686366,0.5445307615775352,0.0,0.0,0.50709255283711,0.5445307615775352,0.5445307615775352
DB00987,0.4743416490252569,0.6324555320336759,0.8451542547285167,0.4743416490252569,0.6324555320336759,0.7905694150420949,0.4743416490252569,0.4743416490252569,0.50709255283711,0.9999999999999999,0.4743416490252569,0.15811388300841897,0.4743416490252569,0.7999999999999999,0.0,0.6324555320336759,0.0,0.0,0.4743416490252569,0.4743416490252569,0.6324555320336759,0.4743416490252569,0.4743416490252569,0.7905694150420949,0.0,0.33541019662496846,0.4743416490252569,0.4743416490252569,0.4743416490252569,0.5590169943749475,0.4743416490252569,0.36514837167011077,0.4743416490252569,0.6744400584119299,0.4472135954999579,0.4743416490252569,0.6744400584119299,0.0,0.0,0.4743416490252569,0.15811388300841897,0.0,0.0,0.0,0.15811388300841897,0.4743416490252569,0.0,0.4743416490252569,0.0,0.2,0.0,0.7905694150420949,0.4743416490252569,0.6744400584119299,0.6744400584119299,0.4743416490252569,0.6744400584119299,0.4743416490252569,0.4743416490252569,0.4743416490252569,0.15811388300841897,0.0,0.6324555320336759,0.6744400584119299,0.6324555320336759,0.6324555320336759,0.6744400584119299,0.0,0.0,0.7999999999999999,0.6744400584119299,0.6744400584119299
DB00530,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,1.0,0.75,0.4008918628686366,0.4743416490252569,1.0,0.25,0.75,0.4743416490252569,0.0,0.5,0.0,0.0,0.75,0.75,0.5,0.75,0.5,0.5,0.0,0.5303300858899106,1.0,1.0,0.5,0.35355339059327373,0.5,0.4330127018922194,0.5,0.6910640800594678,0.5303300858899106,0.75,0.6910640800594678,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.15811388300841897,0.0,0.5,0.5,0.6910640800594678,0.6910640800594678,0.75,0.6910640800594678,0.5,0.75,0.5,0.25,0.0,0.5,0.6910640800594678,0.5,0.5,0.6910640800594678,0.0,0.0,0.4743416490252569,0.6910640800594678,0.6910640800594678
DB00675,0.25,0.25,0.1336306209562122,0.25,0.25,0.25,0.25,0.25,0.1336306209562122,0.15811388300841897,0.25,1.0,0.25,0.15811388300841897,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.17677669529663687,0.25,0.25,0.25,0.17677669529663687,0.25,0.14433756729740646,0.25,0.3634043869278237,0.17677669529663687,0.25,0.3634043869278237,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.25,0.0,0.6324555320336759,0.0,0.25,0.25,0.3634043869278237,0.3634043869278237,0.25,0.3634043869278237,0.25,0.25,0.25,0.75,0.0,0.25,0.3634043869278237,0.25,0.25,0.3634043869278237,0.0,0.0,0.15811388300841897,0.3634043869278237,0.3634043869278237
DB00619,0.5,0.5,0.4008918628686366,0.5,0.5,0.5,0.75,0.75,0.4008918628686366,0.4743416490252569,0.75,0.25,1.0,0.4743416490252569,0.0,0.5,0.0,0.0,0.75,0.75,0.5,0.75,0.5,0.5,0.0,0.5303300858899106,0.75,0.75,0.5,0.35355339059327373,0.5,0.4330127018922194,0.5,0.6731917331613781,0.5303300858899106,0.75,0.6731917331613781,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.15811388300841897,0.0,0.5,0.5,0.6731917331613781,0.6731917331613781,0.75,0.6731917331613781,0.5,0.75,0.5,0.25,0.0,0.5,0.6731917331613781,0.5,0.5,0.6731917331613781,0.0,0.0,0.4743416490252569,0.6731917331613781,0.6731917331613781
DB00072,0.4743416490252569,0.6324555320336759,0.50709255283711,0.4743416490252569,0.6324555320336759,0.4743416490252569,0.4743416490252569,0.4743416490252569,0.50709255283711,0.7999999999999999,0.4743416490252569,0.15811388300841897,0.4743416490252569,0.9999999999999999,0.0,0.6324555320336759,0.0,0.0,0.4743416490252569,0.4743416490252569,0.6324555320336759,0.4743416490252569,0.4743416490252569,0.4743416490252569,0.0,0.33541019662496846,0.4743416490252569,0.4743416490252569,0.4743416490252569,0.4472135954999579,0.4743416490252569,0.36514837167011077,0.6324555320336759,0.6367618428581907,0.4472135954999579,0.4743416490252569,0.6367618428581907,0.0,0.0,0.4743416490252569,0.15811388300841897,0.0,0.0,0.0,0.15811388300841897,0.4743416490252569,0.0,0.4743416490252569,0.0,0.2,0.0,0.4743416490252569,0.4743416490252569,0.6367618428581907,0.6367618428581907,0.4743416490252569,0.6367618428581907,0.4743416490252569,0.4743416490252569,0.4743416490252569,0.15811388300841897,0.0,0.6324555320336759,0.6367618428581907,0.6324555320336759,0.6324555320336759,0.6367618428581907,0.0,0.0,0.7999999999999999,0.6367618428581907,0.6367618428581907
DB00254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055901699437494755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09267615637395557,0.0,0.0,0.09267615637395557,0.0,0.0,0.0,0.0,0.0,0.0,0.035897907930886916,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.09267615637395557,0.09267615637395557,0.0,0.09267615637395557,0.0,0.0,0.0,0.0,0.06804138174397718,0.0,0.09267615637395557,0.0,0.0,0.09267615637395557,0.1127859237219941,0.0,0.0,0.09267615637395557,0.09267615637395557
DB00188,0.5,0.75,0.4008918628686366,0.5,0.75,0.5,0.5,0.5,0.4008918628686366,0.6324555320336759,0.5,0.25,0.5,0.6324555320336759,0.0,1.0,0.0,0.0,0.5,0.5,0.75,0.5,0.5,0.5,0.0,0.35355339059327373,0.5,0.5,0.5,0.35355339059327373,0.5,0.2886751345948129,0.5,0.6374470393651989,0.35355339059327373,0.5,0.6374470393651989,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.5,0.0,0.5,0.0,0.15811388300841897,0.0,0.5,0.5,0.6374470393651989,0.6374470393651989,0.5,0.6374470393651989,0.5,0.5,0.5,0.25,0.0,0.75,0.6374470393651989,0.75,0.75,0.6374470393651989,0.0,0.0,0.6324555320336759,0.6374470393651989,0.6374470393651989
DB00813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141205365121604,0.0,0.0,0.141205365121604,0.0,0.0,0.0,0.0,0.15811388300841894,0.15811388300841894,0.23839021982291242,0.0,0.0,0.0,0.0,0.0,0.0,0.17928429140015906,0.0,0.0,0.141205365121604,0.141205365121604,0.0,0.141205365121604,0.0,0.0,0.0,0.0,0.0,0.0,0.141205365121604,0.0,0.0,0.141205365121604,0.0,0.5590169943749475,0.0,0.141205365121604,0.141205365121604
DB01698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06338656910463875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10508488381320855,0.0,0.0,0.10508488381320855,0.17928429140015906,0.0,0.0,0.0,0.0,0.0,0.13568133853231432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10508488381320855,0.10508488381320855,0.0,0.10508488381320855,0.0,0.0,0.0,0.0,0.0,0.0,0.10508488381320855,0.0,0.0,0.10508488381320855,0.05480880714314023,0.0,0.0,0.10508488381320855,0.10508488381320855
