,DB00997,DB00526,DB00544,DB00853,DB00515,DB00441,DB00317,DB08865,DB01229,DB00987,DB00530,DB00675,DB00619,DB00072,DB00254,DB00188,DB00813,DB01698,DB00398,DB01259,DB00958,DB09078,DB01248,DB01101,DB01234,DB08881,DB09330,DB08916,DB00773,DB00563,DB00541,DB00877,DB00002,DB12257,DB01590,DB06287,DB11651,DB00661,DB00136,DB00361,DB00947,DB00248,DB01200,DB00945,DB08899,DB00305,DB00396,DB01268,DB00635,DB01128,DB00252,DB01262,DB01042,DB04115,DB06641,DB09053,DB04690,DB00531,DB09063,DB01204,DB01217,DB00914,DB02546,DB11885,DB09074,DB07232,DB16101,DB00860,DB00818,DB00694,DB12565,DB15588
DB00997,1.0,0.202418159747703,0.10890655402346601,0.1678362716593378,0.0,0.2814699843903005,0.199176709236666,0.18385542391076862,0.26874531051903855,0.273147983863499,0.19042088613053396,0.16048217085700786,0.16192236278835684,0.537078568120175,0.33303977684016434,0.1678362716593378,0.2064113218862204,0.2735132772181132,0.13294613760468715,0.19446320144486856,0.15538619377310117,0.23175871747841115,0.2641770687603426,0.29343059613624234,0.32300105540767277,0.16995639281750152,0.2411408164541228,0.17934873511036284,0.32138199230281367,0.14024885950870325,0.2757310177260549,0.2254885150568321,0.537078568120175,0.0,0.23054084926172008,0.23762590166504466,0.12575445656392525,0.19042088613053396,0.1414737636344159,0.27714866726455073,0.21100998983696245,0.21430758352231616,0.2687453105190386,0.26647587071133005,0.18863168484588788,0.23497078032307295,0.20143682408616567,0.20435099191637854,0.2853216618208743,0.20140352599120537,0.17711588977924012,0.2660520182548503,0.1678362716593378,0.2274758319767105,0.12036162814275589,0.1671470027444025,0.2608271965655488,0.09135849464367088,0.17021704690879258,0.25578273379169253,0.10176568762666317,0.15699645640568982,0.18271698928734176,0.22202651789344288,0.17765058047422005,0.2409474029306915,0.23077487353158946,0.29912880961054616,0.2878368312517019,0.9210778600054462,0.18280093920644486,0.18280093920644486
DB00526,0.202418159747703,0.9999999999999998,0.14673479641335552,0.1507556722888818,0.0,0.16854996561581048,0.08257228238447703,0.11009637651263604,0.16093017145509597,0.1752499093081954,0.062197041357112286,0.07207499701564471,0.10577717706958902,0.3323340504622175,0.14245072057454744,0.09045340337332908,0.2022599587389726,0.1364877726081535,0.0597081434026532,0.09981302570118993,0.3721936841593883,0.13878184541334224,0.15819461514694905,0.14642685316435566,0.17407765595569782,0.055512738165336896,0.1019294382875251,0.1487044791289829,0.15745916432444335,0.05598925109558542,0.10768262306348698,0.1918806447200494,0.3323340504622175,0.0,0.18637095747658097,0.1829510163408919,0.14119562368122623,0.031098520678556143,0.19767387315371676,0.10823626487770477,0.13538259026847058,0.12833175058483634,0.20691022044226626,0.1305582419667734,0.08471737420873575,0.1507556722888818,0.19738550848793068,0.08471737420873575,0.18090680674665816,0.09045340337332908,0.1818181818181818,0.20483662259967567,0.11306675421666135,0.09430419201928972,0.14414999403128942,0.1910828816514149,0.2049975944300979,0.16412198797244362,0.15289415743128765,0.11487593716012254,0.03656362120635653,0.12087344460380703,0.12309149097933272,0.05698028822981897,0.2030905986149808,0.16648178955300671,0.18844459036110223,0.1791244302079596,0.10341753799900381,0.2068350759980076,0.1194162868053064,0.149270358506633
DB00544,0.10890655402346601,0.14673479641335552,0.9999999999999999,0.16222142113076252,0.0,0.1813690625275029,0.14808721943977307,0.17770466332772766,0.09895413919905867,0.15086285728094284,0.06692744814102546,0.07755667343294811,0.08536655898367082,0.3188075408103868,0.12262786789699316,0.09733285267845751,0.10882143751650175,0.14686837386151166,0.1284985132406471,0.13425540338526365,0.15018785229652765,0.08960215366342483,0.09727207661715949,0.2521013966653018,0.15609763526361564,0.2688064609902745,0.10968169942141634,0.16001422411879948,0.11295649894498098,0.12049504662575557,0.11587244366483036,0.11470786693528087,0.3188075408103868,0.0,0.11141412945539658,0.10936965981495177,0.15193428136569098,0.06692744814102546,0.030386856273138196,0.1164681928033949,0.11654330934961299,0.16571045299983223,0.1731697435983527,0.1404878717372541,0.21270799391196737,0.12977713690461,0.14159846508095772,0.24309485018510557,0.12977713690461,0.16222142113076252,0.2445579940222592,0.146943671674129,0.12166606584807188,0.10147651372376074,0.07755667343294811,0.08812102431690699,0.1260506983326509,0.08830215713766958,0.13710212427677043,0.16481712868606582,0.07868894753646336,0.08671099695241198,0.13245323570650436,0.18394180184548975,0.3121952705272313,0.17914359097500465,0.20277677641345315,0.1284985132406471,0.11128297681493143,0.11128297681493143,0.09637388493048532,0.09637388493048532
DB00853,0.1678362716593378,0.1507556722888818,0.16222142113076252,0.9999999999999999,0.0,0.22360679774997896,0.1597524126056734,0.18257418583505533,0.1715608916241802,0.23249527748763854,0.12892765578234916,0.1494035761667992,0.21926450482675727,0.41212312956417035,0.236227795630767,0.25,0.22360679774997896,0.1358036190637778,0.19802950859533483,0.12414088329035519,0.11572751247156893,0.2531580199220389,0.16864463002406882,0.21853931903038443,0.16839382851364082,0.1841149235796647,0.21128856368212912,0.1643989873053573,0.13055824196677335,0.20890725544918332,0.17857142857142852,0.1237436867076458,0.41212312956417035,0.0,0.137360563948689,0.13483997249264842,0.23414645289542346,0.12892765578234916,0.09365858115816939,0.17948953965443454,0.13470397652008115,0.1702513061517497,0.2096855342073314,0.2525907427704613,0.18731716231633877,0.24999999999999997,0.19094065395649332,0.18731716231633877,0.175,0.15,0.1507556722888818,0.2830692585361489,0.18749999999999994,0.07819290527140303,0.059761430466719674,0.22633936510629635,0.19425717247145283,0.034020690871988585,0.1479019945774904,0.15875015875023812,0.18190171877724967,0.1670382761952652,0.17010345435994292,0.1417366773784602,0.19245008972987523,0.27607881518711636,0.15624999999999997,0.173275820020918,0.17149858514250882,0.17149858514250882,0.19802950859533483,0.14852213144650112
DB00515,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.05270462766947299,0.05270462766947299,0.0,0.0,0.0,0.0,0.05063696835418334,0.03919001878945916,0.054554472558998104,0.0,0.0,0.0,0.05716619504750295,0.047781848256749665,0.08908708063747481,0.0531494003452734,0.0,0.0,0.0,0.0531494003452734,0.0,0.047457899787624956,0.0,0.0,0.0,0.04082482904638631,0.03919001878945916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04914731871829905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07216878364870323,0.0,0.0,0.0,0.0,0.07856742013183862,0.048795003647426664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB00441,0.2814699843903005,0.16854996561581048,0.1813690625275029,0.22360679774997896,0.0,1.0,0.1632993161855452,0.20412414523193148,0.204598301841142,0.7538191051195527,0.11531640100361064,0.1336306209562122,0.17650452162436564,0.4813666914889585,0.23241742005034205,0.17888543819998318,0.19999999999999998,0.24293289905367485,0.15498260496951666,0.16655247229446116,0.17251638983558856,0.16467739391852368,0.20112045694619726,0.36921640634860897,0.25819888974716115,0.18526206815833915,0.22677868380553634,0.20218402107579708,0.19462473604038075,0.2283750695977849,0.17569105537498345,0.18973665961010278,0.4813666914889585,0.0,0.23036066881273173,0.21105794120443452,0.16754156331667822,0.09225312080288851,0.14659886790209342,0.16054032476698396,0.20080483222562476,0.17131207221604822,0.204598301841142,0.16137430609197573,0.18848425873126295,0.22360679774997896,0.17078251276599332,0.2303696495604325,0.20124611797498107,0.15652475842498528,0.20225995873897257,0.5570066518960167,0.1956559480312316,0.13987572123604708,0.08017837257372731,0.22268849079920192,0.282341957795995,0.09128709291752769,0.15118578920369088,0.22718473369882594,0.1355815361366601,0.17928429140015903,0.18257418583505539,0.1690308509457033,0.23668231560156439,0.2222391592461577,0.1956559480312316,0.22140372138502384,0.1533929977694741,0.26843774609657967,0.17712297710801905,0.17712297710801905
DB00317,0.199176709236666,0.08257228238447703,0.14808721943977307,0.1597524126056734,0.05270462766947299,0.1632993161855452,0.9999999999999997,0.29999999999999993,0.12529036043768352,0.14856672599230308,0.5837637722948997,0.19639610121239312,0.2882306768491569,0.47683435477592595,0.08625819491779428,0.1460593486680443,0.22453655975512463,0.16529490122682156,0.2711630722733202,0.4835183081723996,0.08451542547285165,0.3697609549990479,0.12316062408839397,0.3014639334060611,0.12297746456210362,0.2857243743174461,0.2931763649279745,0.6153077308173558,0.19069251784911845,0.13561270072416207,0.20865621238292043,0.15491933384829665,0.47683435477592595,0.0,0.1630102053370437,0.14770978917519925,0.20519567041703085,0.2448041625752806,0.10259783520851543,0.22283706466455747,0.18035210484058706,0.1554174680400523,0.18097496507665395,0.15811388300841897,0.1709963920141924,0.1460593486680443,0.09960238411119947,0.15389675281277315,0.09128709291752768,0.20083160441856093,0.08257228238447703,0.1653796461189446,0.1369306393762915,0.26648544566940835,0.15275252316519466,0.18182439134950373,0.19506489808627483,0.12422599874998831,0.24688535993934702,0.11593472394004206,0.19926334924652137,0.12198750911856662,0.17391639824998364,0.3967876966218537,0.24595492912420724,0.16129556770910236,0.1369306393762915,0.09038769075777339,0.12524485821702988,0.1878672873255448,0.1988529196671015,0.07231015260621872
DB08865,0.18385542391076862,0.11009637651263604,0.17770466332772766,0.18257418583505533,0.05270462766947299,0.20412414523193148,0.29999999999999993,0.9999999999999997,0.13921151159742612,0.2122381799890044,0.16947980485980965,0.13093073414159542,0.19215378456610463,0.4367047308591401,0.17251638983558856,0.16431676725154984,0.1632993161855452,0.14876541110413938,0.23500799597021085,0.2568691012165873,0.0563436169819011,0.2689170581811257,0.15052965166359264,0.23053124319287027,0.14054567378526128,0.3193390065900868,0.18516401995451026,0.2851426069641405,0.15891043154093204,0.18646746349572282,0.1956151991089879,0.1678292783356547,0.4367047308591401,0.0,0.17554945190143165,0.16001893827313257,0.20519567041703085,0.18831089428867737,0.13679711361135388,0.18351287678257672,0.19674775073518588,0.13987572123604705,0.20881726739613915,0.15811388300841897,0.1880960312156116,0.16431676725154987,0.11952286093343936,0.15389675281277315,0.12780193008453877,0.16431676725154984,0.11009637651263604,0.22739701341354882,0.1369306393762915,0.19034674690672024,0.10910894511799618,0.24794235184023233,0.17733172553297713,0.09938079899999065,0.3857583749052297,0.06956083436402524,0.177122977108019,0.0975900072948533,0.07453559924999299,0.241522945769824,0.28109134757052257,0.20161945963637795,0.1369306393762915,0.12654276706088277,0.2191785018798023,0.18786728732554478,0.12654276706088274,0.14462030521243743
DB01229,0.26874531051903855,0.16093017145509597,0.09895413919905867,0.1715608916241802,0.0,0.204598301841142,0.12529036043768352,0.13921151159742612,0.9999999999999999,0.17727598712973544,0.12583221237211148,0.236951850387359,0.2407501692775223,0.48701184159074806,0.20173664619648224,0.24399771253216745,0.20459830184114203,0.1518722901902783,0.19629491013896927,0.12620871481070603,0.14118624160050353,0.21057946967096725,0.8686990835304701,0.22217955809063075,0.2494610901255934,0.14038631311397817,0.21910418644624854,0.17549427369736506,0.19909945245071203,0.2265461887154396,0.2505333655464219,0.19409899176618917,0.48701184159074806,0.0,0.18852560660029855,0.20562903028816626,0.14282799726001058,0.12583221237211148,0.14282799726001058,0.22992394477045242,0.1780320865910524,0.16876002510510266,0.2325581395348837,0.3081578172139684,0.18567639643801376,0.18299828439912558,0.19966749769191652,0.18567639643801379,0.19824814143238606,0.12199885626608373,0.20691022044226626,0.20720475471299116,0.1906232129157558,0.12719260014977865,0.1275894579008856,0.20709857753219768,0.23699152863000614,0.062257280636469035,0.18043874177926345,0.15493870239670618,0.07397267214553091,0.16302782918784445,0.2282766956670531,0.12968784398345287,0.19076436303721847,0.2357690978448659,0.19062321291575582,0.2415937355556545,0.18307302333807945,0.28768617953126774,0.2415937355556545,0.19629491013896927
DB00987,0.273147983863499,0.1752499093081954,0.15086285728094284,0.23249527748763854,0.0,0.7538191051195527,0.14856672599230308,0.2122381799890044,0.17727598712973544,1.0,0.11990028442779209,0.1389425035941821,0.18352066281439183,0.47945915852711485,0.24165612634006073,0.18599622199011082,0.20795009796401454,0.2946878675818802,0.13812277665483924,0.1731730146489101,0.14349920066683505,0.17122340098907804,0.1742625780188712,0.45163875217714483,0.20134681656420728,0.1926263261127128,0.2161438102702613,0.19110994086122907,0.24283339755490585,0.2590397350658073,0.16606805534831323,0.19727878476642874,0.47945915852711485,0.0,0.2235497770177629,0.20377276933717503,0.21775177815467112,0.09592022754223367,0.10887588907733556,0.1669218813123451,0.1670295381318647,0.17812181099872781,0.21273118455568255,0.1677890138035061,0.1742014225237369,0.2092457497388747,0.1522038868295523,0.1742014225237369,0.18599622199011082,0.13949716649258312,0.1752499093081954,0.579147939141922,0.23249527748763854,0.14543584966911588,0.11115400287534567,0.21049133398705727,0.2709832513062869,0.0949157995752499,0.15719549837837185,0.23621543814299706,0.16916516233038026,0.18641092980036,0.1898315991504998,0.15378117130731137,0.24609055357847553,0.2053984663852387,0.20343336780168372,0.2071841649822589,0.15949044456578,0.23923566684867004,0.1841637022064523,0.1611432394306458
